gen Z mass fit
mean Z		  Sigma Z
91.1146		  0.000348838
for positive muons in pT binned
bin no.	 	mean Z		  Sigma Z
0	 	 90.9359		  0.00248661
1	 	 90.9853		  0.000856928
2	 	 91.0151		  0.000686373
3	 	 91.1862		  0.000583216
4	 	 91.2834		  0.00116847
5	 	 91.239		  0.00144568
6	 	 91.2318		  0.00228455
7	 	 91.2263		  0.0030051
8	 	 91.2376		  0.00454488
9	 	 91.2353		  0.00460927
for negative muons in pT binned
bin no.	 	mean Z		  Sigma Z
0	 	 90.9637		  0.0024359
1	 	 90.9943		  0.000850509
2	 	 91.0196		  0.000684372
3	 	 91.1868		  0.000584376
4	 	 91.2778		  0.00117294
5	 	 91.2229		  0.00145963
6	 	 91.2156		  0.00230732
7	 	 91.2062		  0.00305466
8	 	 91.1952		  0.00462629
9	 	 91.1965		  0.00471851
